width,height
445,677
482,667
507,676
517,660
512,661
488,659
450,661
400,661
353,667
313,662
277,290
276,659
324,276
263,655
264,648
266,640
342,197
272,626
341,170
285,614
287,143
294,609
279,115
318,596
257,89
362,583
398,574
426,560
438,555
439,551
109,80
444,549
117,87
448,545
119,91
443,543
121,97
103,103
433,544
125,104
422,545
119,100
91,96
412,548
117,104
399,551
385,555
129,104
91,95
369,554
130,106
88,89
357,546
128,108
347,550
132,99
335,548
322,545
95,93
308,523
173,276
300,538
116,101
262,535
272,532
261,532
237,530
102,100
237,530
232,533
115,96
234,530
100,95
235,531
225,535
232,532
174,130
244,530
173,113
257,534
171,128
261,537
265,535
156,127
267,537
123,117
272,539
283,540
135,121
113,111
289,553
136,119
190,139
89,89
290,553
287,553
256,85
72,75
110,117
152,119
283,556
280,560
135,132
277,557
277,554
246,127
148,130
275,553
105,130
286,548
315,538
47,78
87,85
341,529
371,517
93,99
45,80
91,79
403,496
94,88
122,97
434,477
93,89
93,101
447,479
95,101
92,93
453,468
100,83
99,95
435,466
390,463
99,81
101,98
112,103
373,462
104,90
101,102
381,474
104,105
106,99
386,478
106,104
361,492
257,508
115,106
249,520
256,543
117,108
276,573
110,111
102,87
94,92
288,618
120,116
112,92
107,87
111,104
91,94
277,605
101,89
111,90
270,578
105,91
223,585
236,598
199,619
119,153
245,618
215,522
251,626
224,659
274,627
121,100
240,646
129,153
305,643
277,662
136,203
245,671
142,203
248,645
200,236
288,638
155,341
254,614
142,203
272,604
277,549
130,132
319,501
146,166
130,145
392,459
132,143
135,140
113,87
139,196
419,439
114,90
126,148
398,424
136,147
340,417
308,411
144,122
170,146
120,143
297,417
131,138
105,119
147,196
123,138
126,143
369,416
101,119
129,137
155,198
418,422
103,120
129,135
286,427
127,138
154,154
136,119
288,434
136,137
112,123
146,151
302,487
139,144
107,123
125,132
134,151
304,485
122,118
142,149
113,125
315,480
109,123
139,143
140,153
130,148
322,476
88,121
139,155
177,164
138,144
343,485
142,114
146,194
127,138
132,153
140,147
646,491
139,151
133,152
125,148
126,136
133,141
156,154
142,116
653,489
132,111
129,149
124,136
138,144
140,152
662,515
146,121
145,144
139,151
137,142
130,153
142,181
135,151
658,519
145,145
130,119
125,155
126,136
130,148
136,149
139,183
149,155
614,532
143,121
137,153
140,143
133,138
126,151
128,146
147,184
132,154
111,190
601,547
147,115
137,150
131,145
133,114
133,145
79,193
581,565
141,123
133,144
136,149
128,147
131,115
131,150
186,156
135,140
141,142
522,579
131,121
137,150
131,144
151,153
131,147
125,151
126,142
135,113
145,144
487,595
132,151
155,120
132,148
125,142
132,144
158,157
487,608
148,116
132,150
133,140
136,146
159,153
143,154
129,149
415,611
151,117
133,154
133,145
131,155
141,155
141,154
126,145
432,610
136,150
148,116
130,147
131,145
141,155
143,141
126,138
158,149
416,604
141,115
131,152
135,155
131,145
143,139
126,143
147,153
419,604
132,154
158,154
143,117
148,156
132,145
144,152
389,593
137,159
163,159
141,117
146,143
154,155
135,160
128,153
126,149
128,145
344,587
144,117
132,156
153,153
146,138
161,161
71,156
142,157
136,145
135,145
306,574
141,117
160,157
95,153
148,138
134,149
130,153
290,576
143,118
149,139
120,149
160,157
132,145
132,150
289,568
149,112
139,148
159,159
146,154
98,147
137,133
131,156
148,141
309,572
142,149
152,115
149,157
134,157
159,159
135,146
143,138
154,164
141,148
322,592
148,114
136,158
137,149
149,148
135,134
343,574
148,113
157,151
161,152
137,170
146,136
102,164
143,163
134,144
138,134
395,566
149,153
163,151
146,121
145,140
149,150
137,171
137,156
131,146
165,156
140,134
399,562
149,120
162,141
133,147
139,154
142,141
158,153
151,156
134,160
154,150
131,145
435,586
150,121
142,159
141,142
162,156
149,154
168,166
135,147
139,129
133,138
124,159
459,570
153,124
169,156
164,157
142,146
160,157
144,141
131,145
131,162
144,157
159,150
470,563
163,160
141,144
143,115
164,149
431,564
142,143
161,163
169,150
135,114
124,142
429,575
163,164
143,141
371,587
161,159
146,144
129,146
146,116
161,148
158,149
131,157
307,599
165,162
144,141
162,144
126,159
266,592
165,160
145,143
165,147
297,608
166,161
146,141
131,143
161,149
167,149
355,614
167,159
149,144
418,625
164,162
147,142
400,637
148,147
166,156
156,165
437,657
164,158
163,147
147,146
158,166
145,159
418,692
165,159
159,146
152,149
144,163
155,164
141,148
435,723
162,164
145,157
158,147
427,720
163,161
56,148
422,735
164,163
163,150
145,158
154,166
204,335
404,722
144,159
163,148
162,165
197,305
373,717
166,167
160,149
147,167
347,704
144,159
164,158
197,335
332,696
143,162
167,154
154,146
198,321
304,690
167,163
168,152
144,161
287,678
168,163
143,161
161,147
166,154
288,664
169,161
148,161
291,636
147,161
175,163
1783,1055
325,605
147,160
162,149
138,167
380,599
145,159
141,163
423,594
168,151
151,205
144,147
444,573
138,146
458,558
140,145
140,150
454,553
164,145
442,549
170,152
442,540
176,150
133,201
200,304
176,168
446,525
158,151
202,302
154,150
121,144
450,514
161,149
147,150
124,86
131,143
169,149
475,504
211,308
150,149
160,151
160,144
128,144
123,141
485,491
205,305
122,84
176,150
486,482
154,145
153,151
150,157
486,477
158,151
145,191
149,130
165,151
473,486
155,150
151,150
458,481
143,145
144,150
158,192
442,480
155,193
420,480
167,194
156,146
393,484
158,150
153,197
149,147
366,484
124,166
163,146
157,151
336,482
125,162
167,148
156,149
161,152
146,179
324,484
160,155
160,142
129,163
151,185
158,152
161,197
311,486
157,155
155,149
131,165
149,154
257,494
154,153
143,141
137,168
145,154
154,163
257,514
161,159
133,170
157,146
157,152
249,527
157,159
158,136
144,161
250,535
153,151
154,143
254,539
143,159
152,154
162,178
265,540
154,156
307,538
158,154
152,144
155,125
343,537
157,153
139,166
385,530
152,155
141,167
174,124
165,146
418,529
153,150
157,154
423,524
152,151
424,524
158,153
150,170
